,frame_id,coord,tracklet_id
72,14,[589.53328879 499.71337707],5
73,14,[490.74090444 265.65187663],4
74,15,[355.01356215 382.37231326],1
75,15,[825.91441106 327.32389029],2
76,15,[528.12684645 291.92422355],3
77,15,[595.26852783 498.46089364],5
78,15,[490.17266449 262.64389658],4
79,16,[354.29490361 384.22798572],1
80,16,[825.115041   325.60367188],2
81,16,[528.54122227 292.17106065],3
82,16,[597.05699738 497.2450681 ],5
83,17,[356.7721057 377.9640376],1
84,17,[825.57953669 319.67123333],2
85,17,[528.48673909 291.91292384],3
86,17,[601.15713108 495.85767179],5
87,17,[485.3964435  264.73884758],4
88,18,[356.66895563 373.17381848],1
89,18,[826.83839269 322.30847684],2
90,18,[528.43781923 291.21187386],3
91,18,[606.51098589 494.56868102],5
92,18,[483.49090827 263.64673934],4
93,19,[357.06180449 370.9370382 ],1
94,19,[827.09048709 320.6622748 ],2
95,19,[528.93248946 288.63518708],3
96,19,[613.090164   490.99037406],5
97,19,[486.44826928 258.46950038],4
98,20,[359.26559893 367.78538088],1
99,20,[826.36499521 314.86630692],2
100,20,[531.05228784 286.61849189],3
101,20,[612.33263441 492.04749089],5
102,20,[484.45492207 255.64762952],4
103,21,[362.81232039 367.97012769],1
104,21,[825.8643198  311.44439992],2
105,21,[532.16595381 285.81631142],3
106,21,[612.03773878 492.20828973],5
107,21,[480.1468139  249.67455256],4
108,22,[361.24712472 370.75030953],1
109,22,[825.2418175  308.18558336],2
110,22,[532.10932146 284.92631213],3
111,22,[612.23699271 491.34831347],5
112,22,[481.73550845 248.80492724],4
113,22,[412.31585999 301.88179016],8
114,23,[362.08292363 371.00123562],1
115,23,[824.64339081 307.98643876],2
116,23,[532.78125444 286.00212255],3
117,23,[609.56201182 489.75608191],5
118,23,[482.35813206 249.15931606],4
119,24,[363.57216304 368.47652823],1
120,24,[825.51859203 306.56711902],2
121,24,[534.72929348 284.99826776],3
122,24,[606.65140344 489.50999116],5
123,24,[480.96660055 246.75527912],4
124,25,[364.3193245 367.8554367],1
125,25,[826.40176763 305.34938885],2
126,25,[536.50036699 284.11714294],3
127,25,[606.6142611  490.33108951],5
128,25,[479.49215221 245.16561636],4
129,26,[367.17067235 370.4663579 ],1
130,26,[826.50430194 302.68174298],2
131,26,[536.60778662 284.37867699],3
132,26,[609.40213681 490.5444566 ],5
133,26,[479.94053223 242.85347089],4
134,27,[368.03159259 369.29419292],1
135,27,[826.75351471 303.89364332],2
136,27,[537.48669071 285.45650208],3
137,27,[609.61862166 490.77918054],5
138,27,[479.15141553 243.41737725],4
139,28,[367.10720384 369.24586261],1
140,28,[824.80626219 306.14532754],2
141,28,[537.30999708 284.83982634],3
142,28,[609.59958166 490.0569848 ],5
143,28,[482.60165085 243.43548839],4
144,29,[366.76442417 367.96312003],1
145,29,[824.03690768 308.04046503],2
146,29,[537.44367295 286.11714759],3
147,29,[616.03680622 491.52647995],5
148,29,[485.09500261 245.06521844],4
149,30,[366.48127259 367.88176778],1
150,30,[823.62552565 310.72981779],2
151,30,[536.3305267  284.71553054],3
152,30,[611.47995462 490.45246622],5
153,30,[487.95920134 245.72887482],4
154,31,[367.33902603 367.60464561],1
155,31,[822.86101669 312.30258404],2
156,31,[535.46591988 283.83793951],3
157,31,[609.64027197 489.96939382],5
158,31,[489.44234854 245.29335407],4
159,32,[368.1893624  365.94755885],1
160,32,[823.48566556 313.61198919],2
161,32,[536.56628424 284.2959066 ],3
162,32,[617.10169018 491.79379045],5
163,32,[485.6173959  245.32883828],4
164,33,[371.21080193 365.49465357],1
165,33,[826.81372415 311.38940081],2
166,33,[536.71054081 283.27672886],3
167,33,[618.45568019 492.4179515 ],5
168,33,[486.17644247 248.98590063],4
169,33,[429.93245381 294.59719644],8
170,34,[371.61835438 365.64638243],1
171,34,[827.8318328  312.89316533],2
172,34,[535.84048858 282.96019064],3
173,34,[619.15763267 493.18676867],5
174,34,[487.00760796 249.49790837],4
175,34,[432.13182321 293.47682164],8
176,35,[371.50745614 366.81689911],1
177,35,[824.983078   317.12837545],2
178,35,[535.85664339 284.11448703],3
179,35,[620.36659022 493.95608025],5
180,35,[483.44675584 248.42355442],4
181,36,[371.19525721 367.55025389],1
182,36,[822.86964112 321.82006766],2
183,36,[535.44215087 284.30742602],3
184,36,[620.72359358 495.31681673],5
185,36,[485.68759673 255.82786294],4
186,37,[370.92000734 367.07248562],1
187,37,[822.09119917 321.61333801],2
188,37,[538.41128828 284.76804501],3
189,37,[619.9801863  496.60311896],5
190,37,[483.48230023 259.10403382],4
191,38,[371.86027787 365.23579765],1
192,38,[822.99320899 320.53521587],2
193,38,[540.89999934 285.39505152],3
194,38,[619.62380452 496.65463938],5
195,38,[476.90929637 252.32344276],4
196,39,[372.19627042 363.85979091],1
197,39,[822.64611291 321.98740398],2
198,39,[543.43110611 284.42169075],3
199,39,[622.78712464 496.96551278],5
200,39,[476.11768144 247.24823443],4
201,39,[413.33303216 288.92014688],8
202,40,[371.91156206 364.6570974 ],1
203,40,[823.04781089 326.34274947],2
204,40,[543.2896457  283.06012284],3
205,40,[621.34920849 497.37900909],5
206,40,[479.39737223 245.3978718 ],4
207,40,[410.75475271 290.57824208],8
208,41,[369.39421879 361.98536063],1
209,41,[823.77675492 328.71770741],2
210,41,[542.37054533 280.46084217],3
211,41,[620.36918894 497.16544337],5
212,41,[481.50844224 245.81722932],4
213,42,[366.57455838 360.80215378],1
214,42,[823.49645051 328.26648972],2
215,42,[542.55424739 279.96405817],3
216,42,[619.47676327 497.31078604],5
217,42,[487.46113876 248.03361447],4
218,43,[364.60369829 360.85255832],1
219,43,[824.11753283 328.53313766],2
220,43,[539.20794457 277.35084781],3
221,43,[610.78423781 497.60633158],5
222,43,[491.4558702  248.49486412],4
223,44,[361.85594109 360.50799023],1
224,44,[824.11743666 326.55900414],2
225,44,[541.72941098 276.10540437],3
